"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-06-30,"Chevy Chase Village","MD","Washington","Montgomery",9327,1522500,-0.0127099409895597,-0.0298840321141838,0.0131088634548842,0.0208565069186697,0.018363262622449,752,"2006-04","2006-Q2",1685500,-0.0967072085434589,"2005-07","1997-09","1997-Q3",503300,-0.701394245031148
2014-06-30,"Marblemount","WA","Mount Vernon","Skagit",9328,109400,0.011090573012939,-0.0179533213644524,0.0570048309178744,-0.0210841762339323,0.0341440960343018,677,"2009-08","2009-Q3",124200,-0.119162640901771,"2008-12","1997-05","1997-Q2",63500,-0.488727858293076
2014-06-30,"Richmond","WI","Whitewater","Walworth",9329,162300,0.0226843100189036,0.132588974180042,0.241775057383321,0.010029933341692,0.0239457293813226,1371,"2006-08","2006-Q3",163900,-0.00976205003050641,"2006-07","1996-12","1996-Q4",90700,-0.446613788895668
2014-06-30,"Wilmington","VT",,"Windham",9330,202300,0.00646766169154229,0.0337250894225856,-0.0170068027210884,-0.0271090837503387,,716,"2005-07","2005-Q3",291000,-0.304810996563574,"2003-09","1998-09","1998-Q3",101100,-0.652577319587629
2014-06-30,"Hillsdale","NY","Hudson","Columbia",9331,240200,-0.00166251039068994,-0.027923917442331,0.0143581081081081,-0.0190893149182847,0.00602330216622393,744,"2005-07","2005-Q3",283500,-0.152733686067019,"2005-01","1998-06","1998-Q2",106500,-0.624338624338624
2014-06-30,"Oakley","MI","Saginaw","Saginaw",9332,79000,0.0141206675224647,0.0561497326203209,0.0675675675675676,0.0159231253456247,-0.0284198170469232,587,"2004-06","2004-Q2",105400,-0.250474383301708,"1999-11","1997-07","1997-Q3",66300,-0.370967741935484
2014-06-30,"Nicholson Township","PA","Pittsburgh","Fayette",9333,92000,0.055045871559633,0.0900473933649289,0.131611316113161,0.0800471091720785,0.0479402814591363,441,"2014-06","2014-Q2",92000,0,"2014-06",,,,
2014-06-30,"Rolesville","NC","Raleigh","Wake",9334,217300,0.00928936367858802,0.0225882352941176,0.0605173255246462,0.00743401385941023,0.0151846501519952,1142,"2007-05","2007-Q2",229300,-0.0523331879633668,"2006-10","1996-08","1996-Q3",151200,-0.340601831661579
2014-06-30,"Capron","IL","Rockford","Boone",9335,123800,0.0368509212730318,0.086918349429324,0.0412111017661901,-0.0244343463476532,-0.0143831918564226,646,"2006-06","2006-Q2",159700,-0.224796493425172,"2002-06","1998-10","1998-Q4",107000,-0.329993738259236
2014-06-30,"Glen Rock","PA","York","York",9336,153300,0.0226817878585724,0.05,0.104466858789625,-0.0184970533344876,0.0136223027834268,586,"2007-05","2007-Q2",182100,-0.158154859967051,"2005-04","1996-04","1996-Q2",94300,-0.482152663371774
2014-06-30,"Barton Creek","TX","Austin","Travis",9337,780000,-0.0180032733224223,-0.0271888251434273,0.0587756210126239,0.0305626925743701,0.0303900388026588,1255,"2014-04","2014-Q2",805300,-0.0314168632807649,"2013-12","1997-02","1997-Q1",389500,-0.516329318266485
2014-06-30,"West Homestead","PA","Pittsburgh","Allegheny",9338,98900,0.0185375901132853,0.0280665280665281,0.148664343786295,0.0163429773372945,0.0186674928265396,873,"2010-09","2010-Q3",99100,-0.00201816347124117,"2010-08","1996-04","1996-Q2",63300,-0.36125126135217
2014-06-30,"Marine","IL","St. Louis","Madison",9339,133200,0.00985595147839272,0.00832702498107494,0.00376789751318764,-0.0101913558750318,0.0141847749559323,510,"2007-05","2007-Q2",140900,-0.0546486870120653,"2006-09","1996-09","1996-Q3",75600,-0.463449254790632
2014-06-30,"Woodside","PA","Philadelphia","Bucks",9340,470000,0.00384451089278086,0.0122765453370666,0.0643115942028985,-0.00589432037660931,0.00453670702039788,776,"2006-04","2006-Q2",525800,-0.106124001521491,"2005-02","1997-06","1997-Q2",237600,-0.548117154811716
2014-06-30,"Bruceton","TN",,"Carroll",9341,58400,0.0103806228373702,0.0354609929078014,0.0656934306569343,,,936,"2014-06","2014-Q2",58400,0,"2014-06",,,,
2014-06-30,"Riverside","AL","Birmingham","Saint Clair",9342,177300,0.00624290578887628,0.00169491525423729,0.0326150262085032,0.0105936122526451,0.0199633677155171,574,"2014-06","2014-Q2",177300,0,"2014-06",,,,
