"Date","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-06-30,"Idaho",37,170200,-0.0058411214953271,-0.0229621125143513,0.0136986301369863,-0.0119014075578836,0.0290651486364106,465911,"2007-11","2007-Q4",194900,-0.126731657260133,"2006-04","1996-08","1996-Q3",107000,-0.451000513083633
2014-06-30,"Hawaii",38,516000,0.00565191970376145,0.0242159587137753,0.106821106821107,0.0237767405560336,0.0339594953148403,394126,"2006-06","2006-Q2",543900,-0.051296194153337,"2005-12","1998-11","1998-Q4",206900,-0.619599191027763
2014-06-30,"New Hampshire",39,212200,0.00521080056845097,0.0138557095078834,0.0625938908362544,0.0000942773656806839,-0.00793635344671451,430523,"2006-03","2006-Q1",253700,-0.163579030350808,"2003-10","1996-04","1996-Q2",98600,-0.611351990540008
2014-06-30,"Rhode Island",40,218900,0.00968634686346864,0.00829111008751727,0.0468675274988044,-0.00967179656967665,-0.0184846475610181,261105,"2005-11","2005-Q4",296500,-0.261720067453626,"2003-05","1997-09","1997-Q3",114700,-0.613153456998314
2014-06-30,"Montana",41,193000,-0.0117767537122376,-0.0378863409770688,-0.119525547445255,-0.041532538275349,,233868,"2009-08","2009-Q3",241500,-0.200828157349896,"2008-12","1998-07","1998-Q3",98900,-0.59047619047619
2014-06-30,"Delaware",42,205800,0.0117994100294985,0.0372983870967742,0.0769230769230769,-0.0156602333051543,0.0150750782961708,244573,"2007-04","2007-Q2",233200,-0.117495711835334,"2005-06","1996-04","1996-Q2",107000,-0.541166380789022
2014-06-30,"South Dakota",43,127000,-0.0185471406491499,-0.047976011994003,-0.0550595238095238,-0.0294848032982161,0.00560186784678218,116848,"2010-01","2010-Q1",147700,-0.140148950575491,"2005-07","1996-08","1996-Q3",84400,-0.428571428571429
2014-06-30,"Alaska",44,244000,-0.0204737053392212,-0.0629800307219662,-0.0513219284603421,-0.00823519290256691,0.0246845636707325,164157,"2008-07","2008-Q3",272800,-0.105571847507331,"2007-01","2002-04","2002-Q2",164300,-0.397727272727273
2014-06-30,"North Dakota",45,204000,0.000490436488474743,0.0483042137718397,0.0686223153483499,,,107113,"2014-06","2014-Q2",204000,0,"2014-06",,,,
2014-06-30,"Vermont",46,215800,-0.000925925925925926,0.000463606861381548,0.0174446016030174,-0.000739782574411874,,221974,"2005-06","2005-Q2",249400,-0.134723336006415,"2004-11","1999-09","1999-Q3",95400,-0.617481956696071
2014-06-30,"District of Columbia",47,461400,0.00151942695897547,0.00457217504898759,0.109134615384615,0.0546017947107496,0.0424008794725848,138037,"2014-06","2014-Q2",461400,0,"2014-06",,,,
2014-06-30,"Wyoming",48,197800,-0.00901803607214429,-0.0476649012999519,0.0232798758406622,,,145968,"2009-06","2009-Q2",224200,-0.117752007136485,"2009-01","1998-11","1998-Q4",97300,-0.566012488849242
